わたし,I
うみ,sea/ocean
せかい,world
パーティー,party
あめ,candy (飴)
おまつり,festival
すきやき,sukiyaki (beef & vegetable hotpot)
さしみ,sashimi (sliced raw fish)
おすし,sushi (vinegared rice topped with raw fish)
てんぷら,tempura (seafood & vegetables deep fried in oil)
ぶたにく,pork
とりにく,chicken
ぎゅうにく,beef
レモン,lemon
いけばな,flower arrangement
もみじ,maple/red leaves of autumn
どちら,which one (between two things)
どちらも,both
いちばん,the most
ずっと,by far (used for comparisons)
はじめて,for the first time
ただいま,I'm home (said when returning home)
おかえりなさい,Welcome home (said to someone returning home)
わあすごいひとですね,Wow! Look at all those people! (expressing surprise at a crowd)
つかれました,I'm tired (after effort or activity)
でも,but (using at the start of a sentence)
〜けど,but~ (use in the middle of a sentence/ connect clauses) (informal equivalent of が)
あそびます,enjoy oneself/play
およぎます,swim
むかえます,go to meet/welcome
つかれます,get tired
はいります,enter
でます,go out/leave
けっこんします,marry/get married
かいものします,do shopping
しょくじします,have a meal/dine
さんぽします,take a walk (in a park)
こうえんをさんぽします,take a walk in the park
たいへん［な］,hard/tough/severe
ほしい,want (something)
ひろい,wide/spacious
せまい,narrow/small
プール,swimming pool
かわ,river
びじゅつ,fine arts
つり,fishing
スキー,skiing
しゅうまつ,weekend
おしょうがつ,New Year's Day
〜ごろ,about (specific point in time, e.g.: 3 o'clock)
ぐらい,about (duration or length of time: 3 hours)
なにか,something (unspecified thing)
どこか,somewhere/someplace (unspecified place)
のどがかわきました,get thirsty (when expressing thirst)
おなかがすきました,get hungry (when expressing hunger)
おなかがいっぱいです,I am full (after eating enough)
そうしましょう,Let's do that (used when agreeing with someone's suggestion)
ごちゅうもんは,May I take your order? (used by restaurant staff)
ていしょく,set meal (meal with side dishes)
ぎゅうどん,bowl of rice topped with beef
しょうしょうおまちください,Please wait a moment (polite customer-service expression)
べつべつに,separately (not together)
つけます,turn on
けします,turn off
あけます,open
しめます,close/shut
いそぎます,hurry
まちます,wait
もちます,hold
とおります,pass (go through/pass by)
てつだいます,help (with a task)
わたします,hand over/pass the task
よびます,call
はなします,speak/talk
つかいます,use
とめます,stop/park
みせます,show
おしえます,tell/teach
じゅうしょをおしえます,to tell an address
すわります,sit down
たちます,stand up
きっさてんにはいります,enter a cafe
きっさてんをでます,go out of a cafe
ふります,fall (rain)
あめがふります,rain is falling
コピーします,copy
でんき,electricity/light
エアコン,air conditioner
パスポート,passport
なまえ,name
じゅうしょ,address
ちず,map
しお,salt
さとう,sugar
もんだい,question/problem/trouble
こたえ,answer
よみかた,way of reading/how to read
〜かた,way of doing ~/how to ~
〜たち,plural suffix (we/ you/ they)
〜すぎる,too much
まっすぐ,straight
ゆっくり,slowly/leisurely
すぐ,immediately
また,again
あとで,later
もうすこし,a little more
もう〜,more~/another~
さあ,right (used when encouraging a course of action)
あれ,Oh!/Eh? (when surprised or wonder)
しんごうをみぎへまがってください,Please turn right at the traffic light
これでおねがいします,I would like to pay with this (used when handing over money)
おつり,change (money returned after payment)
おきます,put (置きます)
つくります,make/produce
うります,sell
しります,get to know
すみます,be going to live
けんきゅうします,do research
しりょう,materials/data
カタログ,catalogue
じこくひょう,timetable
ふく,clothes
せいひん,products
ソフト,software
でんしじしょ,electronic dictionary
けいざい,economy
しやくしょ,city hall/municipal office
こうこう,senior high school
はいしゃ,dentist
どくしん［な］,single/unmarried
すみません,I am sorry (used to apologize politely)
みなさん,everybody/everyone
おもいだします,remember/recollect (bring back to mind)
いらっしゃいます,be (honorific of います)
のります,ride/get on (train)
でんしゃにのります,get on a train
おります,get off (train)
でんしゃをおります,get off a train
のりかえます,change (train)
あびます,take (shower)
シャワーをあびます,take a shower
いれます,put in/insert
だします,take out/hand in/send
おろします,withdraw
おかねをおろします,withdraw money
にゅうがくします,enroll to (university)
だいがくににゅうがくします,enroll to university
そつぎょうします,graduate from (university)
だいがくをそつぎょうします,graduate from university
おします,push/press
おさけをのみます,drink alcohol
はじめます,start/begin
けんがくします,tour/visit (for study)
でんわします,to phone
わかい,young
ながい,long
みじかい,short
あかるい,bright/light
くらい,dark
からだ,body/health
あたま,head
かみ,hair (髪)
かお,face
め,eye
みみ,ear
はな,nose
くち,mouth
は,tooth/teeth
おなか,stomach
あし,leg/foot
せ,height
サービス,service
ジョギング,jogging
シャワー,shower
みどり,green/greenery
おてら,Buddhist temple
じんじゃ,Shinto shrine
〜ばん,number~
どうやって,how/in what way
どの〜,which ~ (used for three or more)
どれ,which one (used for three or more)
すごいですね,That's amazing! (used to express admiration or surprise)
いいえまだまだです,no I still have a long way to go (humble response to praise)
おひきだしですか,Are you making a withdrawal? (used by bank staff)
まず,first/first of all (starting step or action)
つぎに,next/as a next step (introducing the next step)
キャッシュカード,cash dispensing card
あんしょうばんごう,personal identification number/PIN
きんがく,amount of money
かくにん,confirmation
ボタン,button
おぼえます,memorize
わすれます,forget
なくします,lose
はらいます,pay
かえします,give back/return
でかけます,go out
ぬぎます,take off (clothes/ shoes/ etc.)
もっていきます,take (something)
もってきます,bring (something)
しんぱいします,worry
ざんぎょうします,work overtime
しゅっちょうします,go on a business trip
くすり,medicine
くすりをのみます,take medicine (drink medicine)
おふろ,bath
おふろにはいります,take a bath
たいせつ［な］,important/precious
だいじょうぶ［な］,all right
あぶない,dangerous
きんえん,no smoking
けんこう,health
けんこうほけんしょう,health insurance card
ねつ,fever/temperature
びょうき,illness/disease
うわぎ,jacket/outerwear
したぎ,underwear
〜までに,before ~/by~ (deadline)
ですから,therefore/so (giving a conclusion)
どうしましたか,What's the matter? (asking about a problem)
のど,throat
〜いたいです,I have a pain in my ~ (expressing pain in body part)
かぜ,cold/flu (illness)
おだいじに,Take care of yourself (said to someone who is sick)
できます,be able to/can
あらいます,wash
ひきます,play (stringed instrument/piano/etc.)
うたいます,sing
あつめます,collect/gather
すてます,throw away
かえます,exchange/change
うんてんします,drive
よやくします,reserve/book
ピアノ,piano
〜メートル,〜 meter
げんきん,cash
しゅみ,hobby
にっき,diary
おいのり,prayer
かちょう,section head
ぶちょう,department head
しゃちょう,company president
どうぶつ,animal
うま,horse
インターネット,the Internet
とくに,especially
へえ,What!/Really! (expressing surprise)
それはおもしろいですね,That's interesting isn't it? (reacting to new information)
なかなか,not easily (used with negative)
ほんとうですか,Really? (expressing surprise or confirmation)
ぜひ,by all means (strongly encouraging or wanting something)
のぼります,climb/go up
とまります,stay
ホテルにとまります,stay at a hotel
そうじします,clean (room)
せんたくします,wash (clothes)
なります,become
ねむい,sleepy
つよい,strong
よわい,weak
れんしゅう,practice
ゴルフ,golf
すもう,sumo wrestling
ひ,day/date
ちょうし,condition
いちど,once
いちども,not once/never (used with negatives)
だんだん,gradually
もうすぐ,soon
おかげさまで,thanks to you (said when appreciating the help received)
かんぱい,Cheers! (said before drinking together)
わあ, Wow!/Ohh!
ダイエット,diet
むり［な］,impossible/excessive (too much difficult)
からだにいい,good for one's health
いります,to need (要る)
しらべます,to check/to investigate
しゅうりします,to repair
ぼく,I (informal わたし: mainly used by males)
きみ,you (informal あなた: used to address people of same or lower status)
〜くん,Mr. (informal 〜さん: used to address people of same or lower status/ often appended to boys' names)
うん,yes (informal はい)
ううん,no (informal いいえ)
ことば,word/language
きもの,kimono (traditional Japanese attire)
ビザ,visa
はじめ,the beginning
おわり,the end
こっち,this way/this place (informal)
そっち,that way/that place near you (informal)
あっち,that way/that place over there (informal)
どっち,which way/where/which one (informal)
みんなで,together with everyone
よかったら,if you like/if it's okay with you (making a casual offer or suggestion)
おもいます,to think
いいます,to say
かちます,to win
まけます,to lose
やくにたちます,to be useful
うごきます,to move
やめます,quit/retire/stop/give up
きをつけます,take care/pay attention
りゅうがくします,to study abroad
むだ［な］,wasteful
ふべん［な］,inconvenient
すごい,amazing/great/awful (express astonishment)
ほんとう［な］,true
うそ,lie
じどうしゃ,automobile/car
こうつう,transportation/traffic
ぶっか,prices/cost of goods
ほうそう,announcement/broadcast
ニュース,news
アニメ,anime
まんが,comic book
デザイン,design/artwork
ゆめ,dream
てんさい,genius
しあい,game/match
いけん,opinion
はなし,talk/speech/story
ちきゅう,earth
つき,moon
さいきん,recently/these days
たぶん,probably/maybe
きっと,surely/definitely
ほんとうに,really
そんなに,not so/not that much (used with negative)
〜について,about~/concerning ~ (topic of discussion)
ひさしぶりですね,it's been a long time (meeting someone after a while)
〜でものみませんか,how about drinking ~ or something? (casual invitation)
もちろん,of course (strong agreement)
もうかえらないと,I have to get home now/I have to go home now (feeling it's time to leave)
おさきにしつれいします,Excuse me for leaving before you / I'll take my leave now (said when leaving the office or a gathering before others)
きます,to put on (shirt)
はきます,to put on (shoes/ trousers)
かぶります,to put on (hat)
かけます,to put on (glasses)
しめます,to put on (tie)
うまれます,to be born
わたしたち,we
コート,coat
セーター,sweater
スーツ,suit
ぼうし,hat/cap
めがね,glasses
ケーキ,cake
べんとう,box lunch
ロボット,robot
ユーモア,humor
つごう,convenience/circumstances/availability
おめでとうございます,congratulations (for birthdays/ weddings/ achievements/ etc.)
おさがしですか,are you looking for ~? (used by staff offering help)
では,well then (used when moving to next topic/action)
やちん,rent (money paid for housing)
ダイニングキッチン,kitchen with a dining area
わしつ,Japanese-style room (tatami room)
おしいれ,Japanese-style closet (for storing futons)
ふとん,Japanese-style mattress and quilt (laid on floor for sleeping)
まわします,to turn (spin/ rotate)
ひきます,to pull
さわります,to touch
でます,to come out
あるきます,to walk
わたります,to cross
まがります,to turn (change direction/ to the right or left)
さびしい,lonely
おゆ,hot water
おと,sound
サイズ,size
こしょう,breakdown
みち,road/way
こうさてん,crossroads
しんごう,traffic lights
かど,corner
はし,bridge (橋)
ちゅうしゃじょう,parking lot/car park
たてもの,building
なんかいも,many times
〜め,the -th (indicating order)
くれます,to give (me)
なおします,to repair/to correct
つれていきます,to take (someone)
つれてきます,to bring (someone)
おくります,to escort (someone)
しょうかいします,to introduce
あんないします,show around/show the way
せつめいします,to explain
おじいさん,grandfather/old man
おばあさん,grandmother/old woman
おじさん,uncle (someone else's)
おじ,uncle (my own)
おばさん,aunt (someone else's)
おば,aunt (my own)
ゆうき,courage
へいや,plain/flat area of land
じゅんび,preparation
ひっこし,moving out
おかし,sweets/snacks
ホームステイ,homestay
ぜんぶ,all
じぶんで,by oneself
ほかに,besides/other than that
かんがえます,to think/consider
つきます,to arrive
たりません,to be enough/to be sufficient
いなか,countryside/hometown
チャンス,chance
おく,hundred million
もし,if
いみ,meaning
もしもし,hello (used only on the phone)
てんきん,job transfer (to another office or location)
こと,thing/matter (abstract thing or event)
ひま［な］,free/not busy (having spare time)
いろいろおせわになりました,thank you for everything you've done for me (expressing gratitude for past help)
がんばります,I'll do my best/Do one's best (expressing determination or effort)
どうぞおげんきで,please take care of yourself (said when expressing long separation)
きる,to wear (着る)
きる,to cut (切る)
のぼる,to climb (登る)
のぼる,to go up (上る)
とる,to take/pick up (取る)
とる,to take a photo/video (撮る)
あつい,hot (weather) (暑い)
あつい,hot (object/drink) (熱い)
なおす,to fix/to repair (直す)
なおす,to cure/to heal (治す)
しまる,to close (door/shop) (閉まる)
しまる,to tighten (締まる)
かえる,to return (帰る)
かえる,to change something (変える)
かわる,to change (変わる)
かわる,to replace / to take over (代わる)
あく,to open (開く)
あく,to become empty / to become available (空く)
つく,to arrive (着く)
つく,to be attached / stick (付く)
おりる,to get off (train/bus) (降りる)
おりる,to descend / to go down (下りる)
ひく,to pull (引く)
ひく,to play a string instrument (弾く)
あげる,to raise / to lift (上げる)
あげる,to deep-fry (揚げる)
さげる,to lower (下げる)
さげる,to carry by hand (提げる)
しめる,to close (閉める)
しめる,to fasten / to tighten (締める)
きく,to ask / to hear (聞く)
きく,to listen carefully (e.g. music) (聴く)
かう,to buy (買う)
かう,to keep / to raise a pet (飼う)
なく,to cry (泣く)
なく,to make an animal sound (鳴く)
つとめる,to work for a company (勤める)
